Flight Number,Origin City,Destination City,Departure Date,Arrival Date,Total Duration,Stops,Airline,Airline,Price,Review
FL-23,Bangalore,Delhi,2024-01-01 22:00,2024-01-01 22:00,5h 39m,0,6E,IndiGo Airlines,8436,Good
FL-24,Bangalore,Guwahati,2024-01-01 23:00,2024-01-01 23:00,3h 39m,0,6E,IndiGo Airlines,6045,Excellent
FL-25,Bangalore,Goa,2024-01-02 00:00,2024-01-02 00:00,5h 36m,0,6E,IndiGo Airlines,4615,Good
FL-26,Bangalore,Hyderabad,2024-01-02 01:00,2024-01-02 01:00,3h 15m,0,6E,IndiGo Airlines,4750,Excellent
FL-27,Bangalore,Jaipur,2024-01-02 02:00,2024-01-02 02:00,5h 22m,0,6E,IndiGo Airlines,8487,Excellent
FL-28,Bangalore,Lucknow,2024-01-02 03:00,2024-01-02 03:00,4h 47m,0,6E,IndiGo Airlines,11044,Excellent
FL-29,Bangalore,Madras,2024-01-02 04:00,2024-01-02 04:00,2h 38m,0,6E,IndiGo Airlines,12938,Good
FL-30,Bangalore,Nagpur,2024-01-02 05:00,2024-01-02 05:00,2h 32m,0,6E,IndiGo Airlines,14031,Good
FL-31,Bangalore,Pune,2024-01-02 06:00,2024-01-02 06:00,5h 33m,0,6E,IndiGo Airlines,8485,Good
FL-32,Bangalore,Trivandrum,2024-01-02 07:00,2024-01-02 07:00,4h 44m,0,6E,IndiGo Airlines,14451,Good
FL-33,Bangalore,Vishakhapatnam,2024-01-02 08:00,2024-01-02 08:00,2h 22m,0,6E,IndiGo Airlines,3306,Good
FL-34,Mumbai,Ahmedabad,2024-01-02 09:00,2024-01-02 09:00,2h 44m,0,6E,IndiGo Airlines,6632,Excellent
FL-35,Mumbai,Bhubaneswar,2024-01-02 10:00,2024-01-02 10:00,2h 40m,0,6E,IndiGo Airlines,14228,Excellent
FL-36,Mumbai,Baroda,2024-01-02 11:00,2024-01-02 11:00,1h 2m,0,6E,IndiGo Airlines,11365,Excellent
FL-37,Mumbai,Bangalore,2024-01-02 12:00,2024-01-02 12:00,3h 51m,0,6E,IndiGo Airlines,5963,Good
FL-38,Mumbai,Kolkata,2024-01-02 13:00,2024-01-02 13:00,2h 42m,0,6E,IndiGo Airlines,9545,Excellent
FL-39,Mumbai,Coimbatore,2024-01-02 14:00,2024-01-02 14:00,2h 29m,0,6E,IndiGo Airlines,3673,Excellent
FL-40,Mumbai,Kochi,2024-01-02 15:00,2024-01-02 15:00,4h 27m,0,6E,IndiGo Airlines,11406,Good
FL-41,Mumbai,Delhi,2024-01-02 16:00,2024-01-02 16:00,5h 22m,0,6E,IndiGo Airlines,9414,Excellent
FL-42,Mumbai,Guwahati,2024-01-02 17:00,2024-01-02 17:00,4h 54m,0,6E,IndiGo Airlines,9761,Excellent
FL-43,Mumbai,Goa,2024-01-02 18:00,2024-01-02 18:00,3h 40m,0,6E,IndiGo Airlines,5462,Excellent
FL-44,Mumbai,Hyderabad,2024-01-02 19:00,2024-01-02 19:00,1h 2m,0,6E,IndiGo Airlines,7307,Excellent
FL-45,Mumbai,Indore,2024-01-02 20:00,2024-01-02 20:00,2h 50m,0,6E,IndiGo Airlines,14073,Excellent
FL-46,Mumbai,Chandigarh,2024-01-02 21:00,2024-01-02 21:00,2h 40m,0,6E,IndiGo Airlines,4958,Excellent
FL-47,Mumbai,Jammu,2024-01-02 22:00,2024-01-02 22:00,2h 27m,0,6E,IndiGo Airlines,14267,Excellent
FL-48,Mumbai,Jaipur,2024-01-02 23:00,2024-01-02 23:00,2h 39m,0,6E,IndiGo Airlines,8834,Good
FL-49,Mumbai,Lucknow,2024-01-03 00:00,2024-01-03 00:00,3h 31m,0,6E,IndiGo Airlines,7887,Good
FL-50,Mumbai,Madras,2024-01-03 01:00,2024-01-03 01:00,1h 10m,0,6E,IndiGo Airlines,13749,Good
FL-51,Mumbai,Nagpur,2024-01-03 02:00,2024-01-03 02:00,1h 11m,0,6E,IndiGo Airlines,14752,Good
FL-52,Mumbai,Patina,2024-01-03 03:00,2024-01-03 03:00,5h 20m,0,6E,IndiGo Airlines,8236,Excellent
FL-53,Mumbai,Srinagar,2024-01-03 04:00,2024-01-03 04:00,5h 55m,0,6E,IndiGo Airlines,3170,Good
FL-54,Mumbai,Trivandrum,2024-01-03 05:00,2024-01-03 05:00,2h 17m,0,6E,IndiGo Airlines,11045,Excellent
FL-55,Kolkata,Ahmedabad,2024-01-03 06:00,2024-01-03 06:00,5h 29m,0,6E,IndiGo Airlines,6973,Good
FL-56,Kolkata,Bhubaneswar,2024-01-03 07:00,2024-01-03 07:00,1h 7m,0,6E,IndiGo Airlines,8512,Good
FL-57,Kolkata,Bangalore,2024-01-03 08:00,2024-01-03 08:00,5h 57m,0,6E,IndiGo Airlines,9526,Excellent
FL-58,Kolkata,Mumbai,2024-01-03 09:00,2024-01-03 09:00,2h 15m,0,6E,IndiGo Airlines,4382,Good
FL-59,Kolkata,Delhi,2024-01-03 10:00,2024-01-03 10:00,2h 37m,0,6E,IndiGo Airlines,5729,Excellent
FL-60,Kolkata,Mohanbari,2024-01-03 11:00,2024-01-03 11:00,3h 8m,0,6E,IndiGo Airlines,13281,Excellent
FL-61,Kolkata,Guwahati,2024-01-03 12:00,2024-01-03 12:00,2h 25m,0,6E,IndiGo Airlines,6407,Good
FL-62,Kolkata,Hyderabad,2024-01-03 13:00,2024-01-03 13:00,1h 29m,0,6E,IndiGo Airlines,5574,Good
FL-63,Kolkata,Imphal,2024-01-03 14:00,2024-01-03 14:00,2h 7m,0,6E,IndiGo Airlines,10658,Excellent
FL-64,Kolkata,Agartala,2024-01-03 15:00,2024-01-03 15:00,5h 26m,0,6E,IndiGo Airlines,7152,Good
FL-65,Kolkata,Baghdogra,2024-01-03 16:00,2024-01-03 16:00,2h 33m,0,6E,IndiGo Airlines,11247,Excellent
FL-66,Kolkata,Ranchi,2024-01-03 17:00,2024-01-03 17:00,4h 8m,0,6E,IndiGo Airlines,10926,Good
FL-67,Kolkata,Jaipur,2024-01-03 18:00,2024-01-03 18:00,4h 59m,0,6E,IndiGo Airlines,11499,Good
FL-68,Kolkata,Madras,2024-01-03 19:00,2024-01-03 19:00,5h 43m,0,6E,IndiGo Airlines,13676,Excellent
FL-69,Kolkata,Nagpur,2024-01-03 20:00,2024-01-03 20:00,3h 11m,0,6E,IndiGo Airlines,8119,Excellent
FL-70,Kolkata,Patina,2024-01-03 21:00,2024-01-03 21:00,1h 22m,0,6E,IndiGo Airlines,10911,Good
FL-71,Kolkata,Pune,2024-01-03 22:00,2024-01-03 22:00,5h 7m,0,6E,IndiGo Airlines,6993,Excellent
FL-72,Kolkata,Raipur,2024-01-03 23:00,2024-01-03 23:00,5h 3m,0,6E,IndiGo Airlines,4324,Excellent
FL-73,Coimbatore,Mumbai,2024-01-04 00:00,2024-01-04 00:00,1h 17m,0,6E,IndiGo Airlines,9062,Excellent
FL-74,Coimbatore,Delhi,2024-01-04 01:00,2024-01-04 01:00,5h 19m,0,6E,IndiGo Airlines,11012,Good
FL-75,Coimbatore,Madras,2024-01-04 02:00,2024-01-04 02:00,5h 32m,0,6E,IndiGo Airlines,4263,Excellent
FL-76,Kochi,Bangalore,2024-01-04 03:00,2024-01-04 03:00,4h 42m,0,6E,IndiGo Airlines,10096,Excellent
FL-77,Kochi,Mumbai,2024-01-04 04:00,2024-01-04 04:00,2h 29m,0,6E,IndiGo Airlines,11330,Good
FL-78,Kochi,Delhi,2024-01-04 05:00,2024-01-04 05:00,4h 4m,0,6E,IndiGo Airlines,4830,Excellent
FL-79,Kochi,Hyderabad,2024-01-04 06:00,2024-01-04 06:00,5h 9m,0,6E,IndiGo Airlines,11543,Good
FL-80,Kochi,Madras,2024-01-04 07:00,2024-01-04 07:00,5h 27m,0,6E,IndiGo Airlines,7815,Good
FL-81,Kochi,Trivandrum,2024-01-04 08:00,2024-01-04 08:00,1h 29m,0,6E,IndiGo Airlines,14900,Good
FL-82,Delhi,Ahmedabad,2024-01-04 09:00,2024-01-04 09:00,2h 48m,0,6E,IndiGo Airlines,8062,Good
FL-83,Delhi,Bhubaneswar,2024-01-04 10:00,2024-01-04 10:00,2h 27m,0,6E,IndiGo Airlines,4011,Good
FL-84,Delhi,Baroda,2024-01-04 11:00,2024-01-04 11:00,2h 3m,0,6E,IndiGo Airlines,8582,Good
FL-85,Delhi,Bangalore,2024-01-04 12:00,2024-01-04 12:00,5h 22m,0,6E,IndiGo Airlines,12019,Excellent
FL-86,Delhi,Mumbai,2024-01-04 13:00,2024-01-04 13:00,2h 31m,0,6E,IndiGo Airlines,5144,Excellent
FL-87,Delhi,Kolkata,2024-01-04 14:00,2024-01-04 14:00,2h 32m,0,6E,IndiGo Airlines,11918,Good
FL-88,Delhi,Coimbatore,2024-01-04 15:00,2024-01-04 15:00,3h 9m,0,6E,IndiGo Airlines,9861,Excellent
FL-89,Delhi,Kochi,2024-01-04 16:00,2024-01-04 16:00,4h 14m,0,6E,IndiGo Airlines,14738,Good
FL-90,Delhi,Mohanbari,2024-01-04 17:00,2024-01-04 17:00,3h 6m,0,6E,IndiGo Airlines,14379,Excellent
FL-91,Delhi,Guwahati,2024-01-04 18:00,2024-01-04 18:00,5h 24m,0,6E,IndiGo Airlines,5172,Good
FL-92,Delhi,Goa,2024-01-04 19:00,2024-01-04 19:00,5h 46m,0,6E,IndiGo Airlines,4923,Excellent
FL-93,Delhi,Hyderabad,2024-01-04 20:00,2024-01-04 20:00,4h 54m,0,6E,IndiGo Airlines,12463,Excellent
FL-94,Delhi,Indore,2024-01-04 21:00,2024-01-04 21:00,2h 25m,0,6E,IndiGo Airlines,6549,Good
FL-95,Delhi,Baghdogra,2024-01-04 22:00,2024-01-04 22:00,5h 21m,0,6E,IndiGo Airlines,5438,Excellent
FL-96,Delhi,Jammu,2024-01-04 23:00,2024-01-04 23:00,1h 27m,0,6E,IndiGo Airlines,9473,Excellent
FL-97,Delhi,Ranchi,2024-01-05 00:00,2024-01-05 00:00,3h 9m,0,6E,IndiGo Airlines,4208,Good
FL-98,Delhi,Lucknow,2024-01-05 01:00,2024-01-05 01:00,2h 38m,0,6E,IndiGo Airlines,9067,Good
FL-99,Delhi,Madras,2024-01-05 02:00,2024-01-05 02:00,4h 28m,0,6E,IndiGo Airlines,4285,Excellent
FL-100,Delhi,Nagpur,2024-01-05 03:00,2024-01-05 03:00,1h 31m,0,6E,IndiGo Airlines,10281,Excellent
FL-101,Delhi,Patina,2024-01-05 04:00,2024-01-05 04:00,3h 1m,0,6E,IndiGo Airlines,3611,Excellent
FL-102,Delhi,Pune,2024-01-05 05:00,2024-01-05 05:00,4h 51m,0,6E,IndiGo Airlines,14414,Excellent
FL-103,Delhi,Raipur,2024-01-05 06:00,2024-01-05 06:00,2h 28m,0,6E,IndiGo Airlines,11772,Excellent
FL-104,Delhi,Srinagar,2024-01-05 07:00,2024-01-05 07:00,4h 18m,0,6E,IndiGo Airlines,5033,Good
FL-105,Delhi,Varanasi,2024-01-05 08:00,2024-01-05 08:00,4h 17m,0,6E,IndiGo Airlines,10804,Excellent
FL-106,Mohanbari,Kolkata,2024-01-05 09:00,2024-01-05 09:00,3h 12m,0,6E,IndiGo Airlines,12225,Excellent
FL-107,Mohanbari,Guwahati,2024-01-05 10:00,2024-01-05 10:00,4h 31m,0,6E,IndiGo Airlines,6659,Good
FL-108,Guwahati,Bangalore,2024-01-05 11:00,2024-01-05 11:00,2h 23m,0,6E,IndiGo Airlines,4229,Good
FL-109,Guwahati,Mumbai,2024-01-05 12:00,2024-01-05 12:00,5h 22m,0,6E,IndiGo Airlines,3429,Excellent
FL-110,Guwahati,Kolkata,2024-01-05 13:00,2024-01-05 13:00,1h 49m,0,6E,IndiGo Airlines,5713,Good
FL-111,Guwahati,Delhi,2024-01-05 14:00,2024-01-05 14:00,5h 42m,0,6E,IndiGo Airlines,5328,Excellent
FL-112,Guwahati,Imphal,2024-01-05 15:00,2024-01-05 15:00,2h 46m,0,6E,IndiGo Airlines,12798,Excellent
FL-113,Guwahati,Agartala,2024-01-05 16:00,2024-01-05 16:00,4h 0m,0,6E,IndiGo Airlines,10153,Excellent
FL-114,Guwahati,Baghdogra,2024-01-05 17:00,2024-01-05 17:00,5h 32m,0,6E,IndiGo Airlines,9108,Good
FL-115,Goa,Ahmedabad,2024-01-05 18:00,2024-01-05 18:00,1h 52m,0,6E,IndiGo Airlines,13427,Excellent
FL-116,Goa,Bangalore,2024-01-05 19:00,2024-01-05 19:00,2h 34m,0,6E,IndiGo Airlines,3615,Excellent
FL-117,Goa,Mumbai,2024-01-05 20:00,2024-01-05 20:00,3h 37m,0,6E,IndiGo Airlines,4970,Good
FL-118,Goa,Delhi,2024-01-05 21:00,2024-01-05 21:00,1h 16m,0,6E,IndiGo Airlines,5170,Good
FL-119,Goa,Hyderabad,2024-01-05 22:00,2024-01-05 22:00,3h 28m,0,6E,IndiGo Airlines,10483,Excellent
FL-120,Hyderabad,Ahmedabad,2024-01-05 23:00,2024-01-05 23:00,2h 17m,0,6E,IndiGo Airlines,5402,Good
FL-121,Hyderabad,Bhubaneswar,2024-01-06 00:00,2024-01-06 00:00,2h 28m,0,6E,IndiGo Airlines,9243,Excellent
FL-122,Hyderabad,Bangalore,2024-01-06 01:00,2024-01-06 01:00,5h 55m,0,6E,IndiGo Airlines,3789,Good
FL-123,Hyderabad,Mumbai,2024-01-06 02:00,2024-01-06 02:00,1h 38m,0,6E,IndiGo Airlines,14280,Excellent
FL-124,Hyderabad,Kolkata,2024-01-06 03:00,2024-01-06 03:00,5h 57m,0,6E,IndiGo Airlines,12286,Excellent
FL-125,Hyderabad,Kochi,2024-01-06 04:00,2024-01-06 04:00,2h 50m,0,6E,IndiGo Airlines,10231,Good
FL-126,Hyderabad,Delhi,2024-01-06 05:00,2024-01-06 05:00,5h 8m,0,6E,IndiGo Airlines,7691,Excellent
FL-127,Hyderabad,Goa,2024-01-06 06:00,2024-01-06 06:00,1h 11m,0,6E,IndiGo Airlines,3879,Excellent
FL-128,Hyderabad,Jaipur,2024-01-06 07:00,2024-01-06 07:00,5h 0m,0,6E,IndiGo Airlines,8995,Good
FL-129,Hyderabad,Madras,2024-01-06 08:00,2024-01-06 08:00,5h 57m,0,6E,IndiGo Airlines,8397,Good
FL-130,Hyderabad,Pune,2024-01-06 09:00,2024-01-06 09:00,5h 34m,0,6E,IndiGo Airlines,3839,Good
FL-131,Hyderabad,Raipur,2024-01-06 10:00,2024-01-06 10:00,3h 42m,0,6E,IndiGo Airlines,10679,Excellent
FL-132,Hyderabad,Vishakhapatnam,2024-01-06 11:00,2024-01-06 11:00,2h 31m,0,6E,IndiGo Airlines,9021,Excellent
FL-133,Indore,Mumbai,2024-01-06 12:00,2024-01-06 12:00,2h 34m,0,6E,IndiGo Airlines,4713,Excellent
FL-134,Indore,Delhi,2024-01-06 13:00,2024-01-06 13:00,2h 37m,0,6E,IndiGo Airlines,14688,Excellent
FL-135,Indore,Nagpur,2024-01-06 14:00,2024-01-06 14:00,2h 23m,0,6E,IndiGo Airlines,7299,Excellent
FL-136,Indore,Raipur,2024-01-06 15:00,2024-01-06 15:00,2h 56m,0,6E,IndiGo Airlines,3658,Excellent
FL-137,Imphal,Kolkata,2024-01-06 16:00,2024-01-06 16:00,2h 50m,0,6E,IndiGo Airlines,6717,Good
FL-138,Imphal,Guwahati,2024-01-06 17:00,2024-01-06 17:00,3h 35m,0,6E,IndiGo Airlines,4171,Excellent
FL-139,Imphal,Agartala,2024-01-06 18:00,2024-01-06 18:00,2h 41m,0,6E,IndiGo Airlines,7182,Excellent
FL-140,Agartala,Kolkata,2024-01-06 19:00,2024-01-06 19:00,4h 38m,0,6E,IndiGo Airlines,14274,Excellent
FL-141,Agartala,Guwahati,2024-01-06 20:00,2024-01-06 20:00,2h 31m,0,6E,IndiGo Airlines,10856,Good
FL-142,Agartala,Imphal,2024-01-06 21:00,2024-01-06 21:00,5h 34m,0,6E,IndiGo Airlines,8729,Excellent
FL-143,Baghdogra,Kolkata,2024-01-06 22:00,2024-01-06 22:00,5h 20m,0,6E,IndiGo Airlines,5106,Good
FL-144,Baghdogra,Delhi,2024-01-06 23:00,2024-01-06 23:00,5h 6m,0,6E,IndiGo Airlines,9791,Excellent
FL-145,Baghdogra,Guwahati,2024-01-07 00:00,2024-01-07 00:00,2h 34m,0,6E,IndiGo Airlines,12140,Good
FL-146,Chandigarh,Mumbai,2024-01-07 01:00,2024-01-07 01:00,1h 45m,0,6E,IndiGo Airlines,14034,Excellent
FL-147,Jammu,Delhi,2024-01-07 02:00,2024-01-07 02:00,1h 12m,0,6E,IndiGo Airlines,5656,Excellent
FL-148,Jammu,Srinagar,2024-01-07 03:00,2024-01-07 03:00,2h 46m,0,6E,IndiGo Airlines,14413,Excellent
FL-149,Ranchi,Mumbai,2024-01-07 04:00,2024-01-07 04:00,4h 56m,0,6E,IndiGo Airlines,8099,Excellent
FL-150,Ranchi,Kolkata,2024-01-07 05:00,2024-01-07 05:00,3h 45m,0,6E,IndiGo Airlines,14926,Good
FL-151,Ranchi,Delhi,2024-01-07 06:00,2024-01-07 06:00,1h 49m,0,6E,IndiGo Airlines,13718,Good
FL-152,Ranchi,Patina,2024-01-07 07:00,2024-01-07 07:00,5h 4m,0,6E,IndiGo Airlines,14110,Excellent
FL-153,Jaipur,Ahmedabad,2024-01-07 08:00,2024-01-07 08:00,3h 43m,0,6E,IndiGo Airlines,4446,Good
FL-154,Jaipur,Bangalore,2024-01-07 09:00,2024-01-07 09:00,3h 50m,0,6E,IndiGo Airlines,7317,Good
FL-155,Jaipur,Mumbai,2024-01-07 10:00,2024-01-07 10:00,5h 30m,0,6E,IndiGo Airlines,14665,Good
FL-156,Jaipur,Kolkata,2024-01-07 11:00,2024-01-07 11:00,1h 5m,0,6E,IndiGo Airlines,5827,Good
FL-157,Jaipur,Hyderabad,2024-01-07 12:00,2024-01-07 12:00,1h 59m,0,6E,IndiGo Airlines,11645,Good
FL-158,Lucknow,Bangalore,2024-01-07 13:00,2024-01-07 13:00,5h 26m,0,6E,IndiGo Airlines,12558,Excellent
FL-159,Lucknow,Mumbai,2024-01-07 14:00,2024-01-07 14:00,1h 53m,0,6E,IndiGo Airlines,14307,Excellent
FL-160,Lucknow,Delhi,2024-01-07 15:00,2024-01-07 15:00,2h 12m,0,6E,IndiGo Airlines,3192,Excellent
FL-161,Lucknow,Patina,2024-01-07 16:00,2024-01-07 16:00,2h 19m,0,6E,IndiGo Airlines,12003,Excellent
FL-162,Madras,Ahmedabad,2024-01-07 17:00,2024-01-07 17:00,2h 31m,0,6E,IndiGo Airlines,10787,Excellent
FL-163,Madras,Bangalore,2024-01-07 18:00,2024-01-07 18:00,2h 31m,0,6E,IndiGo Airlines,12506,Excellent
FL-164,Madras,Mumbai,2024-01-07 19:00,2024-01-07 19:00,5h 11m,0,6E,IndiGo Airlines,6849,Good
FL-165,Madras,Kolkata,2024-01-07 20:00,2024-01-07 20:00,4h 22m,0,6E,IndiGo Airlines,12017,Good
FL-166,Madras,Coimbatore,2024-01-07 21:00,2024-01-07 21:00,1h 13m,0,6E,IndiGo Airlines,13211,Good
FL-167,Madras,Kochi,2024-01-07 22:00,2024-01-07 22:00,2h 32m,0,6E,IndiGo Airlines,8318,Good
FL-168,Madras,Delhi,2024-01-07 23:00,2024-01-07 23:00,3h 19m,0,6E,IndiGo Airlines,4323,Excellent
FL-169,Madras,Hyderabad,2024-01-08 00:00,2024-01-08 00:00,1h 48m,0,6E,IndiGo Airlines,6975,Good
FL-170,Madras,Pune,2024-01-08 01:00,2024-01-08 01:00,2h 26m,0,6E,IndiGo Airlines,3690,Excellent
FL-171,Madras,Trivandrum,2024-01-08 02:00,2024-01-08 02:00,5h 16m,0,6E,IndiGo Airlines,8723,Good
FL-172,Madras,Vishakhapatnam,2024-01-08 03:00,2024-01-08 03:00,1h 13m,0,6E,IndiGo Airlines,8325,Good
FL-173,Nagpur,Bangalore,2024-01-08 04:00,2024-01-08 04:00,3h 10m,0,6E,IndiGo Airlines,12983,Good
FL-174,Nagpur,Mumbai,2024-01-08 05:00,2024-01-08 05:00,3h 54m,0,6E,IndiGo Airlines,12865,Good
FL-175,Nagpur,Kolkata,2024-01-08 06:00,2024-01-08 06:00,5h 32m,0,6E,IndiGo Airlines,9344,Good
FL-176,Nagpur,Delhi,2024-01-08 07:00,2024-01-08 07:00,2h 28m,0,6E,IndiGo Airlines,6883,Excellent
FL-177,Nagpur,Indore,2024-01-08 08:00,2024-01-08 08:00,2h 3m,0,6E,IndiGo Airlines,4956,Good
FL-178,Nagpur,Pune,2024-01-08 09:00,2024-01-08 09:00,5h 26m,0,6E,IndiGo Airlines,14346,Excellent
FL-179,Patina,Kolkata,2024-01-08 10:00,2024-01-08 10:00,4h 45m,0,6E,IndiGo Airlines,5421,Good
FL-180,Patina,Delhi,2024-01-08 11:00,2024-01-08 11:00,1h 11m,0,6E,IndiGo Airlines,13459,Good
FL-181,Patina,Ranchi,2024-01-08 12:00,2024-01-08 12:00,5h 3m,0,6E,IndiGo Airlines,9153,Good
FL-182,Patina,Lucknow,2024-01-08 13:00,2024-01-08 13:00,2h 1m,0,6E,IndiGo Airlines,4416,Excellent
FL-183,Pune,Ahmedabad,2024-01-08 14:00,2024-01-08 14:00,3h 20m,0,6E,IndiGo Airlines,3209,Excellent
FL-184,Pune,Bangalore,2024-01-08 15:00,2024-01-08 15:00,3h 12m,0,6E,IndiGo Airlines,10420,Excellent
FL-185,Pune,Kolkata,2024-01-08 16:00,2024-01-08 16:00,1h 41m,0,6E,IndiGo Airlines,6609,Good
FL-186,Pune,Delhi,2024-01-08 17:00,2024-01-08 17:00,5h 14m,0,6E,IndiGo Airlines,14385,Excellent
FL-187,Pune,Hyderabad,2024-01-08 18:00,2024-01-08 18:00,5h 50m,0,6E,IndiGo Airlines,9711,Good
FL-188,Pune,Madras,2024-01-08 19:00,2024-01-08 19:00,3h 7m,0,6E,IndiGo Airlines,7555,Good
FL-189,Pune,Nagpur,2024-01-08 20:00,2024-01-08 20:00,5h 9m,0,6E,IndiGo Airlines,10811,Good
FL-190,Raipur,Kolkata,2024-01-08 21:00,2024-01-08 21:00,2h 28m,0,6E,IndiGo Airlines,14169,Good
FL-191,Raipur,Delhi,2024-01-08 22:00,2024-01-08 22:00,2h 1m,0,6E,IndiGo Airlines,14925,Excellent
FL-192,Raipur,Hyderabad,2024-01-08 23:00,2024-01-08 23:00,1h 52m,0,6E,IndiGo Airlines,5038,Excellent
FL-193,Raipur,Indore,2024-01-09 00:00,2024-01-09 00:00,2h 38m,0,6E,IndiGo Airlines,6899,Good
FL-194,Srinagar,Mumbai,2024-01-09 01:00,2024-01-09 01:00,4h 57m,0,6E,IndiGo Airlines,7447,Excellent
FL-195,Srinagar,Delhi,2024-01-09 02:00,2024-01-09 02:00,2h 45m,0,6E,IndiGo Airlines,6876,Excellent
FL-196,Srinagar,Jammu,2024-01-09 03:00,2024-01-09 03:00,2h 52m,0,6E,IndiGo Airlines,11470,Excellent
FL-197,Trivandrum,Bangalore,2024-01-09 04:00,2024-01-09 04:00,1h 21m,0,6E,IndiGo Airlines,3783,Good
FL-198,Trivandrum,Mumbai,2024-01-09 05:00,2024-01-09 05:00,1h 33m,0,6E,IndiGo Airlines,6467,Good
FL-199,Trivandrum,Kochi,2024-01-09 06:00,2024-01-09 06:00,3h 50m,0,6E,IndiGo Airlines,3290,Excellent
FL-200,Trivandrum,Madras,2024-01-09 07:00,2024-01-09 07:00,4h 41m,0,6E,IndiGo Airlines,14516,Excellent
FL-201,Varanasi,Delhi,2024-01-09 08:00,2024-01-09 08:00,4h 4m,0,6E,IndiGo Airlines,10948,Good
FL-202,Vishakhapatnam,Bhubaneswar,2024-01-09 09:00,2024-01-09 09:00,2h 43m,0,6E,IndiGo Airlines,7288,Excellent
FL-203,Vishakhapatnam,Bangalore,2024-01-09 10:00,2024-01-09 10:00,4h 34m,0,6E,IndiGo Airlines,4728,Good
FL-204,Vishakhapatnam,Hyderabad,2024-01-09 11:00,2024-01-09 11:00,5h 33m,0,6E,IndiGo Airlines,14752,Excellent
FL-205,Vishakhapatnam,Madras,2024-01-09 12:00,2024-01-09 12:00,1h 35m,0,6E,IndiGo Airlines,13206,Good
FL-206,Aizwal,Kolkata,2024-01-09 13:00,2024-01-09 13:00,2h 9m,0,9W,Jet Airways,3592,Excellent
FL-207,Aizwal,Guwahati,2024-01-09 14:00,2024-01-09 14:00,3h 30m,0,9W,Jet Airways,10875,Good
FL-208,Ahmedabad,Mumbai,2024-01-09 15:00,2024-01-09 15:00,4h 12m,0,9W,Jet Airways,12532,Excellent
